id,unit,volcabulary
1,1,hair
2,1,eyebrow
3,1,eye
4,1,nose
5,1,lip
6,1,ear
7,1,tongue
8,1,mouth
9,1,long
10,1,short
11,1,thick
12,1,thin
13,1,round
14,1,oval
15,1,big
16,1,small
17,1,head
18,1,forehead
19,1,face
20,1,neck
21,1,chest
22,1,tummy
23,1,fingers
24,1,wrist
25,1,palm
26,1,shoulders
27,1,elbow
28,1,bottom
29,1,knee
30,1,ankle
31,1,toes
32,1,foot
33,1,leg
34,1,waitst
35,1,hand
36,1,arm
37,1,see
38,1,touch
39,1,smell
40,1,hear
41,1,taste
42,1,hop
43,1,turn
44,1,jump
45,1,run
46,1,twist
47,1,shake
48,1,tiptoe
49,1,crawl
50,1,wiggle
51,1,point
52,1,march
53,1,dance
54,1,wobble
55,1,kick
56,1,tap
57,1,pat
58,1,snap
59,1,poke
60,1,clap
61,1,wave
62,2,see
63,2,touch
64,2,smell
65,2,hear
66,2,taste
67,2,eye
68,2,ear
69,2,fingers
70,3,red
71,3,yellow
72,3,purple
73,3,black
74,3,orange
75,3,pink
76,3,brown
77,3,gray
78,3,green
79,3,blue
80,3,white
81,3,paint
82,3,picture
83,3,color
84,4,shape
85,4,circle
86,4,star
87,4,rectangle
88,4,triangle
89,4,square
90,4,oval
91,4,diamond
92,5,sunny
93,5,rainy
94,5,jacket
95,5,boots
96,5,snowy
97,5,windy
98,5,shorts
99,5,mittens
100,5,wear
101,5,raincoat
102,5,scarf
103,5,hot
104,5,cold
105,5,pants
106,5,shoes
107,5,shorts
108,5,t-shirts
109,5,socks
110,6,vegetables
111,6,broccoli
112,6,corn
113,6,carrot
114,6,potato
115,6,bean
116,6,nut
117,6,fruit
118,6,meat
119,6,bananas
120,6,milk
121,6,egg
122,6,breakfast
123,6,lunch
124,6,dinner
125,6,noodles
126,6,bread
127,6,rice
128,7,apple
129,7,orange
130,7,strawberry
131,7,grapes
132,7,pear
133,7,peach
134,7,ant
135,7,van
136,7,fruit
137,7,farm
138,7,pineapple
139,7,mango
140,7,kiwi
141,7,watermelon
142,7,papaya
143,7,cherry
144,7,plum
145,8,puppy
146,8,dog
147,8,cat
148,8,kitten
149,8,chew
150,8,rip
151,8,take
152,8,paper
153,8,frog
154,8,fish
155,8,rabbit
156,8,mouse
157,8,turtle
158,9,rain
159,9,cloud
160,9,drop
161,9,stop
162,9,tence
163,9,thunder
164,9,again
165,9,gone
166,10,park
167,10,ball
168,10,tree
169,10,grass
170,10,flowers
171,10,bush
172,10,swing
173,10,splash
174,10,wait
175,10,slide
176,10,see
177,10,saw
178,11,cook
179,11,nurse
180,11,trashcan
181,11,custodian
182,11,librarian
183,11,book
184,11,classroom
185,11,teacher
186,12,soft
187,12,rough
188,12,beard
189,12,fur
190,12,happy
191,12,sad
192,12,angry
193,12,tired
194,13,parents
195,13,grandparents
196,13,mom
197,13,dad
198,13,brother
199,13,sister
200,13,fun
201,13,busy
202,14,grill
203,14,fork
204,14,plate
205,14,teapot
206,14,glass
207,14,sink
208,14,refrigerator
209,14,stove
210,15,chore
211,15,toy
212,15,window
213,15,floor
214,15,sofa
215,15,bathtub
216,15,bathroom
217,15,living room
218,16,goat
219,16,duck
220,16,horse
221,16,cow
222,16,hen
223,16,sheep
224,16,feed
225,16,barn
226,17,count
227,17,zebra
228,17,bird
229,17,giraffe
230,17,monkey
231,17,elephant
232,17,lion
233,17,wolf
234,18,seal
235,18,dolphin
236,18,whale
237,18,penguin
238,18,crab
239,18,swim
240,18,shrimp
241,18,jellyfish
242,19,spring
243,19,summer
244,19,fall
245,19,winter
246,19,plant
247,19,pick
248,19,cook
249,19,snow
250,20,birthday
251,20,celebrate
252,20,frown
253,20,shake
254,20,sigh
255,20,sniff
256,20,pout
257,20,party
258,20,nest
259,20,panda
260,20,octopus